user_name,user_zloa_score,user_damage
트림,1909.7,25.62
알블레이드,2161.82,28.02
강한이지산,2146.9,25.27
멘해머,2095.45,29.04
샤솜이,2187.03,6.6
사슴반퍼펙트스윙,2190.28,29.81
울형이빡숙이야,2302.04,29.66
이겜어떻게해요,2206.4,30.59
Y망치,2034.7,24.44
디팩트스윙,1982.91,28.05
빼앗겠떡,1901.51,20.35
아몬드그레놀라,2243.47,28.45
작출,2278.04,31.9
놀부심보,2249.63,24.69
킥킥킥,2131.95,29.8
스틸망치,2152.38,29.67
자인푸,2084.01,23.94
망치사량,2179.83,30.96
빨초,1944.96,23.13
모콩디붕,2270.86,29.97
