weapon,fire_count,hit,damage_0_rate,distance_mean,distance_min,distance_max,HeadShot,NeckShot,TorsoShot,PelvisShot,ArmShot,LegShot,NonSpecific,player_name
Mk14,49,0.204,0.0,173.837,98.7,317.3,4.0,0.0,4.0,0.0,1.0,1.0,0.0,GoogLuck-nan
AUG,39,0.0,1.0,15.89,15.89,15.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Biopineapple-
Mk12,97,0.062,0.0,117.18333333333334,93.18,171.52,1.0,0.0,4.0,0.0,0.0,1.0,0.0,Biopineapple-
AUG,87,0.0,1.0,4.359999999999999,4.34,4.38,2.0,0.0,0.0,0.0,0.0,0.0,0.0,iWoS1X1a0Tang_-
Frag Grenade,4,0.75,0.4,47.076,31.53,51.93,0.0,0.0,0.0,0.0,0.0,0.0,5.0,iWoS1X1a0Tang_-
Mk12,203,0.039,0.5,204.5725,110.88,386.63,1.0,0.0,4.0,5.0,2.0,4.0,0.0,iWoS1X1a0Tang_-
P90,40,0.175,0.2222222222222222,22.772222222222222,19.82,44.1,1.0,0.0,8.0,0.0,0.0,0.0,0.0,iWoS1X1a0Tang_-
Frag Grenade,1,1.0,0.0,31.25,31.25,31.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,sky_ground_
M416,74,0.081,0.5384615384615384,10.404615384615385,0.8,31.54,2.0,0.0,8.0,0.0,2.0,1.0,0.0,sky_ground_
Mk12,11,0.091,0.0,240.05,240.05,240.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sky_ground_
Frag Grenade,5,0.2,0.0,49.79,49.79,49.79,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ICC_10086
Groza,30,0.033,0.0,19.3,19.3,19.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,ICC_10086
ACE32,124,0.016,0.0,67.875,67.75,68.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,peidomhxu
AWM,20,0.2,0.0,181.0225,91.03,259.27,2.0,0.0,2.0,0.0,0.0,0.0,0.0,peidomhxu
Frag Grenade,3,0.333,0.6666666666666666,42.57333333333333,41.5,44.26,0.0,0.0,0.0,0.0,0.0,0.0,3.0,peidomhxu
Mini14,8,0.25,0.0,259.8,258.79,260.81,1.0,0.0,1.0,0.0,0.0,0.0,0.0,BOSSCTP
Frag Grenade,3,0.667,0.3333333333333333,69.88666666666667,41.86,84.02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,overindow
MP5K,154,0.058,0.0,89.06111111111112,31.58,180.82,2.0,0.0,4.0,2.0,0.0,1.0,0.0,KuangfengS1
AUG,108,0.019,0.0,101.725,76.03,127.42,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9614_-KkunJ9
Frag Grenade,3,0.667,0.0,34.45,32.77,36.13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9614_-KkunJ9
Mk12,84,0.036,0.0,292.51,205.34,341.57,0.0,0.0,1.0,1.0,0.0,1.0,0.0,9614_-KkunJ9
M24,5,0.2,0.0,138.55,138.55,138.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Stranger3117
M416,22,0.045,0.0,98.47,98.47,98.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Stranger3117
AUG,70,0.057,0.0,34.0125,1.05,132.77,2.0,0.0,2.0,0.0,0.0,0.0,0.0,Geoffrey_PP
Mk12,168,0.077,0.38095238095238093,143.79000000000002,1.19,284.42,5.0,0.0,8.0,3.0,3.0,2.0,0.0,Geoffrey_PP
P90,45,0.133,0.25,21.7675,20.35,24.29,1.0,0.0,3.0,3.0,1.0,0.0,0.0,Geoffrey_PP
M24,13,0.231,0.0,232.92333333333332,181.49,330.62,3.0,0.0,0.0,0.0,0.0,0.0,0.0,iuewo
M416,49,0.082,0.6363636363636364,5.6890909090909085,4.67,7.39,0.0,0.0,11.0,0.0,0.0,0.0,0.0,iuewo
AUG,23,0.043,0.0,24.22,24.22,24.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,LaYBackJ
Mk12,122,0.18,0.12,170.9588,1.92,389.99,15.0,0.0,9.0,1.0,0.0,0.0,0.0,LaYBackJ
Mk12,31,0.226,0.125,97.59,76.7,240.71,0.0,0.0,6.0,0.0,1.0,1.0,0.0,SlimShady_-
AUG,101,0.178,0.41935483870967744,15.625806451612902,1.99,33.41,5.0,0.0,25.0,0.0,1.0,0.0,0.0,YourMaleGod_-
Frag Grenade,5,0.6,0.0,45.04333333333333,44.51,45.72,0.0,0.0,0.0,0.0,0.0,0.0,3.0,YourMaleGod_-
Mk12,7,0.143,0.6666666666666666,85.05333333333334,84.93,85.17,0.0,0.0,2.0,0.0,1.0,0.0,0.0,YourMaleGod_-
Kar98k,46,0.152,0.125,225.32125,94.4,327.68,0.0,0.0,6.0,0.0,0.0,2.0,0.0,Mempry-XX
M416,61,0.082,0.0,30.871999999999996,17.24,85.07,0.0,0.0,4.0,0.0,1.0,0.0,0.0,Mempry-XX
AUG,72,0.069,0.0,49.662,27.33,58.98,2.0,0.0,3.0,0.0,0.0,0.0,0.0,weixiao762
M24,3,0.333,0.0,456.32,456.32,456.32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,weixiao762
AUG,46,0.196,0.1,16.699,9.34,20.27,0.0,0.0,6.0,2.0,1.0,1.0,0.0,HEEHEE818
M416,7,0.286,0.0,8.545,7.51,9.58,0.0,0.0,0.0,0.0,0.0,2.0,0.0,iFTY_HuaHai
Mk12,110,0.082,0.4,297.0126666666667,103.51,498.99,6.0,0.0,8.0,0.0,0.0,1.0,0.0,iFTY_HuaHai
Kar98k,26,0.231,0.14285714285714285,206.75714285714284,185.53,283.65,2.0,0.0,5.0,0.0,0.0,0.0,0.0,Gorgeous_LongGe
K2,22,0.273,0.0,35.050000000000004,34.65,35.95,0.0,0.0,3.0,2.0,0.0,1.0,0.0,Hbpz_-
M24,10,0.1,0.0,134.0,134.0,134.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Hbpz_-
